"Index","Chapter","Thought","D: Original","D: Narrative","D: Refashioned","D: Elegant","D: Summary","D: Distilled","Notes"
"","","","<a href=""http://classics.mit.edu/Plato/republic.html"">The Republic - Plato (Benjamin Jowett translation)</a>","<a href=""http://classics.mit.edu/Plato/republic.html"">The Republic - Plato</a> - Narrative","<a href=""http://classics.mit.edu/Plato/republic.html"">The Republic - Plato</a> - Refashioned","","","",""
"1.1","1.1","1","I went down yesterday to the Piraeus with Glaucon the son of Ariston, that I might offer up my prayers to the goddess; and also because I wanted to see in what manner they would celebrate the festival, which was a new thing. I was delighted with the procession of the inhabitants; but that of the Thracians was equally, if not more, beautiful. When we had finished our prayers and viewed the spectacle, we turned in the direction of the city; and at that instant Polemarchus the son of Cephalus chanced to catch sight of us from a distance as we were starting on our way home, and told his servant to run and bid us wait for him. The servant took hold of me by the cloak behind, and said: Polemarchus desires you to wait.

I turned round, and asked him where his master was. There he is, said the youth, coming after you, if you will only wait.

Certainly we will, said Glaucon; and in a few minutes Polemarchus appeared, and with him Adeimantus, Glaucon's brother, Niceratus the son of Nicias, and several others who had been at the procession.","I went down yesterday to the Piraeus with Glaucon the son of Ariston, that I might offer up my prayers to the goddess; and also because I wanted to see in what manner they would celebrate the festival, which was a new thing. I was delighted with the procession of the inhabitants; but that of the Thracians was equally, if not more, beautiful. When we had finished our prayers and viewed the spectacle, we turned in the direction of the city; and at that instant Polemarchus the son of Cephalus chanced to catch sight of us from a distance as we were starting on our way home, and told his servant to run and bid us wait for him. The servant took hold of me by the cloak behind, and said, ""Polemarchus desires you to wait.""

I turned round, and asked him where his master was.

""There he is,"" said the youth, ""coming after you, if you will only wait.""

""Certainly we will,"" said Glaucon; and in a few minutes Polemarchus appeared, and with him Adeimantus, Glaucon's brother, Niceratus the son of Nicias, and several others who had been at the procession.","Yesterday I went down to the Piraeus with Glaucon, son of Ariston, to pray to the goddess and to see how they would celebrate the festival -- it was a new event. I enjoyed the local procession, though the Thracian one was just as impressive, if not more so. After finishing our prayers and watching the spectacle, we headed back toward the city. Just then, Polemarchus, son of Cephalus, spotted us from a distance and sent his servant running to stop us. The servant grabbed my cloak from behind and said, ""Polemarchus wants you to wait.""

I turned around and asked where his master was.

""He's right there,"" the young man said, ""coming up behind you -- just wait.""

""Of course we will,"" said Glaucon. A few minutes later Polemarchus arrived, along with Adeimantus (Glaucon's brother), Niceratus (son of Nicias), and several others from the procession.","Socrates and Glaucon visit the Piraeus for a festival and are impressed by both the local and Thracian processions. As they head home, Polemarchus intercepts them, and a group gathers -- Adeimantus, Niceratus, and others from the celebration.","Socrates narrates his visit to the Piraeus with Glaucon for a religious festival. On their way home, Polemarchus sends a servant to detain them, and a group including Adeimantus and Niceratus joins them.","Socrates and Glaucon attend a festival at the Piraeus and are intercepted by Polemarchus and friends on their way home.","Socrates narrates the scene-setting of the entire Republic. -- The Piraeus was the port district of Athens, about five miles from the city center, a cosmopolitan commercial hub. -- The festival is the Bendideia, honoring the Thracian goddess Bendis, whose worship had recently been officially recognized in Athens. -- Glaucon and Adeimantus are Plato's own brothers, making this a family affair for the author. -- Polemarchus, son of Cephalus, is a metic (resident alien) whose family was wealthy from their shield-manufacturing business. -- Niceratus is the son of the famous Athenian general Nicias, who would later die in the Sicilian Expedition. -- The dramatic date is approximately 421 BCE. -- The casual social setting contrasts with the weighty philosophical discussion that will follow -- a characteristic Platonic technique."
"1.2","1.2","2","Polemarchus said to me: I perceive, Socrates, that you and our companion are already on your way to the city.

You are not far wrong, I said. But do you see, he rejoined, how many we are? Of course. And are you stronger than all these? for if not, you will have to remain where you are.

May there not be the alternative, I said, that we may persuade you to let us go?

But can you persuade us, if we refuse to listen to you? he said.

Certainly not, replied Glaucon. Then we are not going to listen; of that you may be assured.

Adeimantus added: Has no one told you of the torch-race on horseback in honour of the goddess which will take place in the evening?

With horses! I replied: That is a novelty. Will horsemen carry torches and pass them one to another during the race?

Yes, said Polemarchus, and not only so, but a festival will he celebrated at night, which you certainly ought to see. Let us rise soon after supper and see this festival; there will be a gathering of young men, and we will have a good talk. Stay then, and do not be perverse.

Glaucon said: I suppose, since you insist, that we must.

Very good, I replied.","Polemarchus said to me, ""I perceive, Socrates, that you and our companion are already on your way to the city.""

""You are not far wrong,"" I said.

""But do you see,"" he rejoined, ""how many we are? Of course. And are you stronger than all these? For if not, you will have to remain where you are.""

""May there not be the alternative,"" I said, ""that we may persuade you to let us go?""

""But can you persuade us, if we refuse to listen to you?"" he said.

""Certainly not,"" replied Glaucon.

""Then we are not going to listen; of that you may be assured.""

Adeimantus added, ""Has no one told you of the torch-race on horseback in honour of the goddess which will take place in the evening?""

""With horses!"" I replied. ""That is a novelty. Will horsemen carry torches and pass them one to another during the race?""

""Yes,"" said Polemarchus, ""and not only so, but a festival will be celebrated at night, which you certainly ought to see. Let us rise soon after supper and see this festival; there will be a gathering of young men, and we will have a good talk. Stay then, and do not be perverse.""

Glaucon said, ""I suppose, since you insist, that we must.""

""Very good,"" I replied.","Polemarchus called out to me, ""I see you and your friend are already heading back to the city, Socrates.""

""That's right,"" I said.

""But look how many of us there are,"" he replied. ""Are you stronger than all of us? Because if not, you'll have to stay.""

""Isn't there another option?"" I asked. ""Maybe we could persuade you to let us go.""

""Can you persuade people who refuse to listen?"" he said.

""Obviously not,"" Glaucon admitted.

""Well then, we're not going to listen. Count on it.""

Adeimantus chimed in, ""Hasn't anyone told you about the torch-race on horseback tonight in honor of the goddess?""

""On horseback!"" I said. ""That's new. Will the riders carry torches and pass them to each other during the race?""

""Yes,"" said Polemarchus, ""and there's also an all-night festival you really should see. We'll go right after dinner. There'll be lots of young people, and we can have a real conversation. So stay -- don't be difficult.""

""I suppose we have no choice,"" said Glaucon.

""Very well,"" I replied.","Polemarchus playfully detains Socrates by force of numbers, refusing to be ""persuaded"" to let him leave. The promise of an evening torch-race on horseback and a nighttime festival -- with good conversation -- convinces the group to stay.","Polemarchus jokingly threatens to keep Socrates by force, noting that persuasion requires willing listeners. The group agrees to stay for the evening's torch-race on horseback and the nighttime festival.","Polemarchus playfully compels Socrates to stay by refusing to listen to persuasion, foreshadowing the dialogue's central concern with the power of rational argument.","Socrates, Polemarchus, Glaucon, and Adeimantus speak. -- The exchange about force vs. persuasion is deeply ironic and foreshadows the entire Republic's argument: can justice be established through reason, or only through power? -- Polemarchus's 'But can you persuade us, if we refuse to listen?' anticipates Thrasymachus's later position that might makes right. -- The torch-race on horseback (lampadedromia) was an innovation for the Bendideia festival. -- The playful coercion also prefigures the Allegory of the Cave (Book VII), where the philosopher must be compelled to return. -- This passage establishes the voluntary/involuntary tension that runs through the dialogue's treatment of justice."
"1.3","1.3","3","Accordingly we went with Polemarchus to his house; and there we found his brothers Lysias and Euthydemus, and with them Thrasymachus the Chalcedonian, Charmantides the Paeanian, and Cleitophon the son of Aristonymus. There too was Cephalus the father of Polemarchus, whom I had not seen for a long time, and I thought him very much aged. He was seated on a cushioned chair, and had a garland on his head, for he had been sacrificing in the court; and there were some other chairs in the room arranged in a semicircle, upon which we sat down by him. He saluted me eagerly, and then he said: --","Accordingly we went with Polemarchus to his house; and there we found his brothers Lysias and Euthydemus, and with them Thrasymachus the Chalcedonian, Charmantides the Paeanian, and Cleitophon the son of Aristonymus. There too was Cephalus the father of Polemarchus, whom I had not seen for a long time, and I thought him very much aged. He was seated on a cushioned chair, and had a garland on his head, for he had been sacrificing in the court; and there were some other chairs in the room arranged in a semicircle, upon which we sat down by him. He saluted me eagerly, and then he said --","So we went with Polemarchus to his house. There we found his brothers Lysias and Euthydemus, along with Thrasymachus of Chalcedon, Charmantides of Paeania, and Cleitophon son of Aristonymus. Cephalus, Polemarchus's father, was also there -- I hadn't seen him in a long time and thought he looked much older. He was sitting in a cushioned chair wearing a garland, having just finished making sacrifices in the courtyard. Other chairs were arranged in a semicircle, and we sat down beside him. He greeted me warmly and began to speak.","At Polemarchus's house, the company gathers: his brothers Lysias and Euthydemus, along with Thrasymachus, Charmantides, and Cleitophon. The aged Cephalus, freshly garlanded from sacrifice, greets Socrates warmly from his chair.","Socrates arrives at Polemarchus's house and finds a gathering that includes Thrasymachus and the elderly Cephalus, who has been performing sacrifices and greets Socrates eagerly.","The scene is set at Cephalus's house with the key interlocutors assembled.","Socrates narrates the scene. -- Lysias, brother of Polemarchus, would become one of the most famous Attic orators; his speech 'Against Eratosthenes' describes the family's persecution under the Thirty Tyrants. -- Euthydemus shares a name with the subject of another Platonic dialogue, though they are different people. -- Thrasymachus of Chalcedon was a real historical sophist and rhetorician, known for his theory that justice serves the powerful. -- Cephalus's garland and sacrifice establish a religious context that will become significant when he later discusses fear of the afterlife. -- The semicircle seating arrangement suggests a philosophical symposium setting. -- Cleitophon appears in a short Platonic dialogue bearing his name, where he criticizes Socrates for exhorting virtue without defining it."
"1.4","1.3","4","You don't come to see me, Socrates, as often as you ought: If I were still able to go and see you I would not ask you to come to me. But at my age I can hardly get to the city, and therefore you should come oftener to the Piraeus. For let me tell you, that the more the pleasures of the body fade away, the greater to me is the pleasure and charm of conversation. Do not then deny my request, but make our house your resort and keep company with these young men; we are old friends, and you will be quite at home with us.","Cephalus said, ""You don't come to see me, Socrates, as often as you ought. If I were still able to go and see you I would not ask you to come to me. But at my age I can hardly get to the city, and therefore you should come oftener to the Piraeus. For let me tell you, that the more the pleasures of the body fade away, the greater to me is the pleasure and charm of conversation. Do not then deny my request, but make our house your resort and keep company with these young men; we are old friends, and you will be quite at home with us.""","Cephalus said, ""You don't visit me as often as you should, Socrates. If I could still travel to see you, I wouldn't ask you to come to me. But at my age, getting to the city is nearly impossible, so you should come to the Piraeus more often. I'll tell you something: the more the body's pleasures fade, the more I enjoy and value good conversation. So please, don't refuse me -- make our home your gathering place, spend time with these young men. We're old friends, and you'll feel right at home.""","Cephalus invites Socrates to visit more often, observing that as physical pleasures decline with age, the pleasure of conversation grows. He asks Socrates to make his home a place of regular gathering.","The elderly Cephalus warmly chides Socrates for not visiting enough, noting that as bodily pleasures fade with age, intellectual conversation becomes his greatest joy.","Cephalus tells Socrates that conversation has replaced bodily pleasure as his chief delight in old age.","Cephalus speaks to Socrates. -- Cephalus's observation that conversation replaces bodily pleasure in old age introduces the dialogue's concern with the relationship between the body and the soul. -- This anticipates the Phaedo's argument that philosophy is preparation for death through the soul's liberation from bodily desires. -- The invitation to 'keep company with these young men' is ironic, given that Socrates was later charged with corrupting the youth of Athens. -- Cephalus represents the traditional, pre-philosophical view of virtue that Socrates will gently probe."
"1.5","1.3","5","I replied: There is nothing which for my part I like better, Cephalus, than conversing with aged men; for I regard them as travellers who have gone a journey which I too may have to go, and of whom I ought to enquire, whether the way is smooth and easy, or rugged and difficult. And this is a question which I should like to ask of you who have arrived at that time which the poets call the 'threshold of old age' --Is life harder towards the end, or what report do you give of it?","I replied, ""There is nothing which for my part I like better, Cephalus, than conversing with aged men; for I regard them as travellers who have gone a journey which I too may have to go, and of whom I ought to enquire, whether the way is smooth and easy, or rugged and difficult. And this is a question which I should like to ask of you who have arrived at that time which the poets call the 'threshold of old age' -- Is life harder towards the end, or what report do you give of it?""","I replied, ""There's nothing I enjoy more, Cephalus, than talking with people who are older. I think of them as travelers who've already walked a road I'll have to walk myself -- and I want to ask them whether the path is smooth or rough. So let me put this question to you, since you've reached what the poets call the 'threshold of old age': Does life get harder toward the end? What's your report?""","Socrates compares the elderly to travelers on a road he must also walk, and asks Cephalus directly: what is old age really like? Is the path harder toward the end?","Socrates tells Cephalus he values conversation with the elderly because they are like travelers on a road he must also travel, and asks whether life becomes more difficult in old age.","Socrates asks Cephalus to report on old age, comparing the elderly to travelers who have gone ahead on life's journey.","Socrates speaks to Cephalus. -- The metaphor of life as a journey is ancient and recurrent in Greek literature; cf. the Odyssey's voyage as a metaphor for the soul's wandering. -- The 'threshold of old age' likely alludes to Homer or another early poet. -- Socrates's method of learning from experience anticipates his later argument that philosophers must return to the cave to share their knowledge (Republic Book VII). -- The question about old age opens the path to the dialogue's central question about justice, as Cephalus's answer will lead to reflections on death, the afterlife, and what it means to have lived well."
"1.6","1.3","6","I will tell you, Socrates, he said, what my own feeling is. Men of my age flock together; we are birds of a feather, as the old proverb says; and at our meetings the tale of my acquaintance commonly is --I cannot eat, I cannot drink; the pleasures of youth and love are fled away: there was a good time once, but now that is gone, and life is no longer life. Some complain of the slights which are put upon them by relations, and they will tell you sadly of how many evils their old age is the cause. But to me, Socrates, these complainers seem to blame that which is not really in fault. For if old age were the cause, I too being old, and every other old man, would have felt as they do. But this is not my own experience, nor that of others whom I have known. How well I remember the aged poet Sophocles, when in answer to the question, How does love suit with age, Sophocles, --are you still the man you were? Peace, he replied; most gladly have I escaped the thing of which you speak; I feel as if I had escaped from a mad and furious master. His words have often occurred to my mind since, and they seem as good to me now as at the time when he uttered them. For certainly old age has a great sense of calm and freedom; when the passions relax their hold, then, as Sophocles says, we are freed from the grasp not of one mad master only, but of many. The truth is, Socrates, that these regrets, and also the complaints about relations, are to be attributed to the same cause, which is not old age, but men's characters and tempers; for he who is of a calm and happy nature will hardly feel the pressure of age, but to him who is of an opposite disposition youth and age are equally a burden.","""I will tell you, Socrates,"" he said, ""what my own feeling is. Men of my age flock together; we are birds of a feather, as the old proverb says; and at our meetings the tale of my acquaintance commonly is: 'I cannot eat, I cannot drink; the pleasures of youth and love are fled away: there was a good time once, but now that is gone, and life is no longer life.' Some complain of the slights which are put upon them by relations, and they will tell you sadly of how many evils their old age is the cause.

""But to me, Socrates, these complainers seem to blame that which is not really in fault. For if old age were the cause, I too being old, and every other old man, would have felt as they do. But this is not my own experience, nor that of others whom I have known.

""How well I remember the aged poet Sophocles, when in answer to the question, 'How does love suit with age, Sophocles -- are you still the man you were?' 'Peace,' he replied; 'most gladly have I escaped the thing of which you speak; I feel as if I had escaped from a mad and furious master.' His words have often occurred to my mind since, and they seem as good to me now as at the time when he uttered them. For certainly old age has a great sense of calm and freedom; when the passions relax their hold, then, as Sophocles says, we are freed from the grasp not of one mad master only, but of many.

""The truth is, Socrates, that these regrets, and also the complaints about relations, are to be attributed to the same cause, which is not old age, but men's characters and tempers; for he who is of a calm and happy nature will hardly feel the pressure of age, but to him who is of an opposite disposition youth and age are equally a burden.""","""I'll tell you how I see it, Socrates,"" he said. ""Old men tend to stick together -- birds of a feather, as they say. And when we meet, the usual complaints go like this: 'I can't eat, I can't drink, the pleasures of youth and love are gone -- there was a good time once, but now it's over, and life isn't really living anymore.' Some grumble about being disrespected by their families, and they'll list every misery they blame on old age.

""But it seems to me these complainers are blaming the wrong thing. If old age itself were the cause, then I and every other old person would feel the same way. But that's not my experience, nor the experience of others I've known.

""I remember the old poet Sophocles being asked, 'How do you get along with love in old age, Sophocles? Are you still the man you were?' And he replied, 'Don't even mention it -- I'm thrilled to have escaped that thing. It's like escaping from a raving, violent master.' I've thought about his words many times since, and they ring just as true now as when he first said them. Old age really does bring a deep calm and freedom. When the passions loosen their grip, as Sophocles put it, you're freed from not just one mad master, but many.

""The truth is, Socrates, these regrets and complaints about family aren't caused by old age at all -- they come from people's characters and temperaments. A person with a calm and contented nature will barely notice the weight of aging, but someone with the opposite disposition finds both youth and old age equally burdensome.""","Cephalus rejects the common complaint that old age is miserable. He cites Sophocles, who celebrated escaping sexual desire as liberation from a 'mad and furious master.' The real cause of unhappiness in old age, Cephalus argues, is not age itself but a person's character -- the calm-natured barely feel it, while the discontented find every stage of life a burden.","Cephalus argues that old age is not inherently miserable, citing Sophocles's relief at escaping sexual desire. He contends that unhappiness in old age stems from character, not from aging itself -- a calm disposition makes all stages of life bearable.","The misery of old age comes not from age itself but from one's character; the calm-natured find freedom when passion fades.","Cephalus speaks to Socrates. -- Sophocles (c. 496-406 BCE) was one of the three great Athenian tragedians; the anecdote about his relief from sexual desire was well known in antiquity. -- The image of desire as a 'mad and furious master' anticipates the Republic's tripartite soul (Book IV), where reason must govern the appetitive and spirited parts. -- Cephalus's argument that character determines experience of old age parallels the Republic's later claim that the just soul is harmonious regardless of external circumstances. -- The phrase 'birds of a feather' translates the Greek proverb about age-mates seeking each other out. -- This passage connects to the Phaedo's theme that the philosopher welcomes the body's declining hold on the soul. -- Cephalus's view is essentially a precursor to Stoic philosophy: it is not circumstances but our disposition toward them that determines happiness."
"1.7","1.3","7","I listened in admiration, and wanting to draw him out, that he might go on --Yes, Cephalus, I said: but I rather suspect that people in general are not convinced by you when you speak thus; they think that old age sits lightly upon you, not because of your happy disposition, but because you are rich, and wealth is well known to be a great comforter.","I listened in admiration, and wanting to draw him out, that he might go on -- ""Yes, Cephalus,"" I said, ""but I rather suspect that people in general are not convinced by you when you speak thus; they think that old age sits lightly upon you, not because of your happy disposition, but because you are rich, and wealth is well known to be a great comforter.""","I listened with admiration and wanted to keep him talking, so I said, ""That's well put, Cephalus, but I suspect most people wouldn't buy it. They'd say old age is easy for you not because of your temperament, but because you're wealthy -- and everyone knows money is a great comfort.""","Socrates challenges Cephalus: most people would attribute his contentment in old age not to his character but to his wealth.","Socrates provocatively suggests that people would dismiss Cephalus's contentment as a product of wealth rather than character, drawing him into deeper reflection.","Socrates challenges whether Cephalus's easy old age comes from good character or simply from being rich.","Socrates speaks to Cephalus. -- Socrates employs his characteristic technique of the elenchus: drawing out a position, then probing it with a counterargument. -- His mention of 'wanting to draw him out' reveals the strategic, midwife-like quality of Socratic questioning (cf. Theaetetus 150a-d on Socrates as intellectual midwife). -- The question of whether wealth or virtue produces happiness is central to the Republic; Thrasymachus will later argue that injustice (and the wealth it brings) is more profitable than justice. -- This also anticipates Book IX's argument that the philosopher's pleasure is superior to the pleasure of wealth."
"1.8","1.3","8","You are right, he replied; they are not convinced: and there is something in what they say; not, however, so much as they imagine. I might answer them as Themistocles answered the Seriphian who was abusing him and saying that he was famous, not for his own merits but because he was an Athenian: 'If you had been a native of my country or I of yours, neither of us would have been famous.' And to those who are not rich and are impatient of old age, the same reply may be made; for to the good poor man old age cannot be a light burden, nor can a bad rich man ever have peace with himself.

May I ask, Cephalus, whether your fortune was for the most part inherited or acquired by you?","""You are right,"" he replied; ""they are not convinced: and there is something in what they say; not, however, so much as they imagine. I might answer them as Themistocles answered the Seriphian who was abusing him and saying that he was famous, not for his own merits but because he was an Athenian: 'If you had been a native of my country or I of yours, neither of us would have been famous.' And to those who are not rich and are impatient of old age, the same reply may be made; for to the good poor man old age cannot be a light burden, nor can a bad rich man ever have peace with himself.""

""May I ask, Cephalus,"" I said, ""whether your fortune was for the most part inherited or acquired by you?""","""You're right,"" he replied, ""they aren't convinced. And there's some truth to what they say -- but not as much as they think. I'd answer them the way Themistocles answered the man from Seriphos who said he was only famous because he was Athenian, not through any merit of his own. Themistocles replied, 'If you had been born in my city, or I in yours, neither of us would be famous.' The same applies here: a good but poor man won't find old age easy, but a bad rich man will never find peace with himself either.""

""May I ask, Cephalus,"" I said, ""was your wealth mostly inherited or did you earn it yourself?""","Cephalus concedes wealth helps but insists character matters more, citing Themistocles's retort that neither nature nor circumstance alone determines greatness. Both wealth and virtue are needed: a good poor man still suffers in old age, while a bad rich man knows no peace. Socrates then asks whether Cephalus's wealth was inherited or self-made.","Cephalus acknowledges wealth matters but argues it is not sufficient without good character, using Themistocles's famous retort to illustrate that both circumstances and nature play a role. Socrates then asks about the source of his fortune.","Wealth helps in old age, but without good character even the rich find no peace.","Cephalus and Socrates speak. -- Themistocles (c. 524-459 BCE) was the Athenian statesman and naval strategist who engineered the Greek victory at Salamis. -- Seriphos was a tiny, insignificant island in the Cyclades; the anecdote illustrates that both individual merit and favorable circumstances matter. -- Cephalus's nuanced position -- that both wealth and character contribute to happiness -- is more sophisticated than Socrates initially credits him for. -- The question about inherited vs. acquired wealth steers the conversation toward the relationship between money and justice, which will become the dialogue's central concern. -- This balanced view anticipates Aristotle's position in the Nicomachean Ethics that some external goods are necessary for the good life."
"1.9","1.3","9","Acquired! Socrates; do you want to know how much I acquired? In the art of making money I have been midway between my father and grandfather: for my grandfather, whose name I bear, doubled and trebled the value of his patrimony, that which he inherited being much what I possess now; but my father Lysanias reduced the property below what it is at present: and I shall be satisfied if I leave to these my sons not less but a little more than I received.","""Acquired!"" Cephalus said. ""Do you want to know how much I acquired? In the art of making money I have been midway between my father and grandfather: for my grandfather, whose name I bear, doubled and trebled the value of his patrimony, that which he inherited being much what I possess now; but my father Lysanias reduced the property below what it is at present: and I shall be satisfied if I leave to these my sons not less but a little more than I received.""","""I earned it, Socrates! Want to know how much? When it comes to making money, I've fallen somewhere between my father and grandfather. My grandfather -- my namesake -- doubled or tripled what he inherited, starting from about what I have now. But my father Lysanias spent it down to less than its current value. I'll be content if I leave my sons a little more than what I started with.""","Cephalus describes his moderate relationship to wealth: his grandfather multiplied the family fortune, his father diminished it, and he aims simply to leave his sons slightly more than he received.","Cephalus explains he falls between his wealth-building grandfather and his wealth-spending father, and that he would be satisfied to pass on slightly more than he inherited.","Cephalus has a moderate, unattached relationship to money -- he neither obsessively accumulates nor recklessly spends.","Cephalus speaks to Socrates. -- Cephalus's grandfather, also named Cephalus, was a successful businessman who built the family's shield-manufacturing enterprise in the Piraeus. -- The family were metics (resident aliens) from Syracuse, not Athenian citizens, which meant they could not own land and thus focused on commerce. -- Lysanias, Cephalus's father, appears to have been less business-minded. -- Cephalus's moderation about wealth -- neither grasping nor indifferent -- is relevant to the dialogue's later discussions of the just person's relationship to material goods. -- His contentment with 'a little more' contrasts sharply with Thrasymachus's later celebration of the tyrant who takes everything."
