Index,Chapter,Thought,D: Original,D: Refashioned,D: Elegant,D: Summary,D: Distilled,Notes
1.1,Introduction,1,"""The liberal arts are those subjects or skills that in classical antiquity were considered essential for a free person (liberalis, 'worthy of a free person') to know in order to take an active part in civic life, something that (for ancient Greece) included participating in public debate, defending oneself in court, serving on juries, and most importantly, military service."" — Ernst Robert Curtius, European Literature and the Latin Middle Ages",,"The liberal arts were never ornamental. They were the skills a free person needed to govern — to argue, to judge, to defend, to serve.",,,Ernst Robert Curtius (1886–1956) — German literary scholar. European Literature and the Latin Middle Ages (1948) traces the continuity of classical rhetorical and literary traditions through medieval culture.
1.2,Introduction,2,"The primary tool of those arts was — should still be — civil discourse. But what exactly do we mean by the term?",,"The primary tool of the free citizen was discourse. It still should be — if we can remember what the word means.",,,
2.1,Defining: Discourse,1,"Discourse derives from the Latin discursus, itself from discurrere — dis- (""apart, in different directions"") and currere (""to run""). In classical Latin, discursus was physical: the action of running to and fro, scattering in different directions. [1]",,"Discourse begins in motion. The Latin discurrere: to run apart, to scatter in different directions. Before it was a word for speech, it was a word for movement.",,,
2.2,Defining: Discourse,2,"In Late Latin, roughly the third through fifth centuries, the meaning shifted from physical movement to verbal exchange — the running about of words between people. This is where discourse first becomes a communicative act. [1]",,"By Late Latin, the scattering became verbal — words running between people. Discourse became an exchange.",,,
2.3,Defining: Discourse,3,"The crucial turn came in Medieval Latin, within the scholastic philosophy of the sixth through thirteenth centuries. Discursus became the term for the distinctly human mode of reasoning: the mind moving step by step from one known thing to another, from premises to conclusions. [1]",,"The scholastics claimed the word for reason itself: the mind's step-by-step movement from premise to conclusion. Reasoning became a kind of running.",,,Scholastic philosophy — the dominant intellectual tradition of medieval European universities. Key figures: Boethius (6th c.) through Thomas Aquinas (13th c.).
2.4,Defining: Discourse,4,"Thomas Aquinas drew an explicit contrast between discursive reasoning — human, sequential, effortful — and intuitive understanding, which he attributed to the divine as immediate and whole. For Aquinas, human knowledge ""forms a sure judgment about a truth by the discursive process of his reason."" [2] The word carried a sense of intellectual labor: the mind running between ideas to connect them.",,"Aquinas made the distinction sharp: God understands whole; humans must chase truth step by laborious step. The mind running between ideas to connect them is not a deficiency — it is the distinctly human way of knowing.",,,Thomas Aquinas (1225–1274) — Dominican friar and philosopher. The Summa Theologiae is his systematic treatment of theology and philosophy.
2.5,Defining: Discourse,5,"When the word entered Middle English around 1325, borrowed through the Middle French discours, its earliest recorded meaning was not ""conversation"" but ""process of understanding, reasoning, thought."" This is the sense Shakespeare draws on when Hamlet says ""a beast that wants discourse of reason"" [3] — an animal that lacks the capacity for reasoned thought, not one that lacks conversation. Only in the 1550s and 1580s did ""discourse"" shift to mean communication of thought in words and then formal treatment of a subject in speech or writing. [1]",,"When Hamlet calls a beast one that 'wants discourse of reason,' he means the capacity to think — not the capacity to talk. The word carried that weight for centuries before it softened into mere communication.",,,Shakespeare's Hamlet (c. 1600) — Act 1 Scene 2. Hamlet contrasts human rational capacity with animal instinct.
2.6,Defining: Discourse,6,"Today the word has diluted further. ""Discourse"" is applied to everything from academic treatises to social media arguments. The internet era has even produced ""the Discourse"" as a proper noun — meaning ongoing, heated, often unproductive public argument — which is essentially a degradation of the term into something closer to its opposite.",,"'The Discourse' — capital-D, perpetual, unproductive — is the word's final degradation. What once named the highest human faculty now names its opposite: noise without reason.",,,
2.7,Defining: Discourse,7,"By discourse I mean something that recovers the word's deeper history: the running about of ideas within conversation, specifically in search of truth, understanding, and consensus. This meaning holds together both the Late Latin sense of exchange between people and the Medieval Latin sense of reason moving between ideas. Discourse is not mere talk. It is the effortful, sequential, back-and-forth labor of human reasoning conducted between minds.",,"Discourse is the running about of ideas between minds in pursuit of truth. Not talk. Not performance. The effortful, sequential labor of reasoning conducted together.",,,
2.F1,Defining: Discourse,F1,"Harper, Douglas. ""discourse (n.)."" Online Etymology Dictionary. https://www.etymonline.com/word/discourse",,,,,Citation-only footnote.
